489,332 
490,369 
494,405 
499,440 
510,472 
529,500 
556,521 
587,536 
622,540 
659,536 
693,523 
723,502 
746,475 
759,442 
765,406 
769,369 
771,332 
511,263 
526,251 
545,245 
565,245 
583,250 
652,250 
674,246 
696,247 
717,255 
733,270 
617,299 
616,319 
615,339 
614,358 
594,383 
605,385 
616,386 
629,385 
641,382 
540,305 
551,299 
565,299 
577,304 
565,307 
552,308 
662,304 
674,299 
688,300 
700,306 
687,308 
674,308 
567,442 
582,430 
599,420 
618,421 
638,420 
657,429 
674,441 
659,453 
639,458 
619,460 
600,459 
582,453 
598,437 
618,435 
640,436 
641,441 
619,442 
598,441 
-------parameter end------
493,330 
495,367 
499,403 
505,439 
516,472 
536,500 
562,522 
593,538 
627,543 
664,539 
697,522 
726,500 
749,471 
762,438 
770,403 
774,367 
776,332 
516,263 
531,250 
551,244 
572,244 
592,249 
659,251 
680,247 
702,247 
723,254 
739,268 
627,300 
626,320 
625,340 
624,360 
602,384 
614,387 
626,388 
639,387 
651,384 
544,301 
557,294 
571,293 
584,301 
571,305 
557,305 
670,302 
683,295 
697,296 
709,304 
696,307 
683,307 
575,443 
590,431 
607,423 
626,425 
646,423 
664,432 
681,443 
665,455 
647,460 
627,462 
608,460 
590,454 
607,439 
627,439 
648,439 
648,442 
627,443 
607,442 
-------parameter end------
493,330 
496,367 
500,403 
507,439 
518,472 
538,500 
564,523 
594,539 
629,544 
666,539 
698,522 
727,498 
749,470 
762,436 
770,401 
774,366 
776,330 
517,263 
532,250 
552,244 
572,244 
592,249 
660,251 
681,247 
703,247 
723,254 
739,268 
627,298 
626,319 
625,340 
625,360 
603,384 
615,387 
627,388 
640,387 
652,384 
545,302 
557,294 
572,294 
584,300 
571,304 
557,305 
671,301 
683,295 
698,296 
710,304 
697,307 
684,306 
578,443 
592,432 
608,423 
627,424 
647,423 
665,431 
680,443 
666,455 
648,461 
628,463 
609,461 
592,455 
608,438 
627,438 
648,438 
648,443 
628,444 
609,443 
-------parameter end------
494,335 
496,371 
501,408 
508,443 
520,475 
539,502 
565,524 
596,540 
630,545 
667,540 
700,524 
728,501 
749,473 
763,440 
770,405 
774,369 
777,333 
516,263 
532,250 
552,244 
573,244 
593,249 
659,250 
681,246 
703,246 
724,253 
741,268 
627,296 
626,318 
626,339 
625,360 
603,384 
615,387 
627,388 
640,387 
652,384 
544,302 
556,294 
572,294 
585,301 
571,305 
557,305 
670,302 
683,295 
699,295 
712,303 
698,306 
684,305 
576,444 
591,432 
608,423 
627,424 
647,423 
666,432 
683,444 
668,456 
649,462 
628,464 
609,462 
591,456 
607,439 
628,438 
649,439 
650,443 
628,444 
608,444 
-------parameter end------
493,334 
495,371 
499,407 
506,442 
517,474 
537,501 
563,523 
593,539 
627,543 
664,539 
697,523 
726,501 
748,473 
762,440 
770,406 
775,370 
777,334 
517,263 
533,250 
553,244 
573,244 
593,249 
659,251 
681,247 
703,247 
724,254 
741,268 
627,297 
627,318 
626,339 
625,360 
603,384 
615,387 
627,388 
640,387 
652,384 
544,302 
557,294 
572,294 
585,301 
571,305 
557,305 
671,302 
684,295 
699,296 
712,304 
698,307 
684,306 
575,444 
590,432 
608,423 
627,425 
647,424 
666,432 
682,444 
667,456 
648,462 
628,464 
608,462 
590,456 
607,439 
627,439 
649,439 
650,444 
628,445 
607,444 
-------parameter end------
493,335 
495,372 
500,407 
507,442 
519,475 
538,502 
564,524 
594,540 
628,545 
665,541 
698,524 
726,502 
748,474 
762,441 
770,406 
775,370 
777,334 
516,263 
532,250 
552,244 
573,245 
593,250 
659,251 
681,246 
703,247 
724,254 
741,268 
627,299 
626,320 
625,341 
625,361 
602,386 
614,389 
627,390 
640,389 
652,385 
543,302 
556,295 
571,294 
583,301 
570,305 
556,306 
671,302 
684,296 
699,296 
711,304 
698,307 
684,306 
576,445 
591,433 
608,424 
627,426 
